region,year,week,total_a,total_b,total_specimens,total_cases
East North Central,2017,5,1174,284,6913,1458
West North Central,2017,5,582,84,3239,666
South Atlantic,2017,5,1250,244,6762,1494
East South Central,2017,5,211,44,1876,255
West South Central,2017,5,1104,223,5830,1327
Mountain,2017,5,522,21,3360,543
Pacific,2017,5,787,56,4750,843
New England,2017,6,762,53,2903,815
Middle Atlantic,2017,6,1779,168,6381,1947
East North Central,2017,6,1923,670,9234,2593
West North Central,2017,6,740,138,3899,878
South Atlantic,2017,6,1525,348,8005,1873
East South Central,2017,6,305,65,2226,370
West South Central,2017,6,1476,349,7130,1825
Mountain,2017,6,602,55,3928,657
Pacific,2017,6,590,44,4289,634
New England,2017,7,664,73,2880,737
Middle Atlantic,2017,7,1404,185,6111,1589
East North Central,2017,7,2467,933,10713,3400
West North Central,2017,7,789,241,4253,1030
South Atlantic,2017,7,1544,523,8480,2067
East South Central,2017,7,333,97,2412,430
West South Central,2017,7,1366,379,6786,1745
Mountain,2017,7,593,44,3824,637
Pacific,2017,7,386,77,3897,463
New England,2017,8,650,91,2706,741
Middle Atlantic,2017,8,1192,214,5723,1406
East North Central,2017,8,2511,1196,11328,3707
West North Central,2017,8,619,264,3810,883
South Atlantic,2017,8,1573,573,8298,2146
East South Central,2017,8,334,131,2407,465
West South Central,2017,8,1131,348,6075,1479
Mountain,2017,8,472,70,3703,542
Pacific,2017,8,281,65,3331,346
New England,2017,9,416,113,2434,529
Middle Atlantic,2017,9,621,161,4657,782
East North Central,2017,9,1476,920,9442,2396
West North Central,2017,9,310,168,2884,478
South Atlantic,2017,9,1014,426,7149,1440
East South Central,2017,9,223,106,2001,329
West South Central,2017,9,963,351,5676,1314
Mountain,2017,9,377,84,3212,461
Pacific,2017,9,205,60,2976,265
New England,2017,10,322,127,2185,449
Middle Atlantic,2017,10,350,189,4097,539
East North Central,2017,10,1163,1004,8807,2167
West North Central,2017,10,260,283,2941,543
South Atlantic,2017,10,887,505,6734,1392
East South Central,2017,10,205,121,2125,326
West South Central,2017,10,954,360,5481,1314
Mountain,2017,10,337,117,3143,454
Pacific,2017,10,154,79,2974,233
New England,2017,11,231,143,2054,374
Middle Atlantic,2017,11,263,239,3515,502
East North Central,2017,11,959,1103,8419,2062
West North Central,2017,11,188,327,2888,515
South Atlantic,2017,11,776,640,6866,1416
East South Central,2017,11,173,113,1942,286
West South Central,2017,11,817,371,5089,1188
Mountain,2017,11,257,152,2956,409
Pacific,2017,11,131,83,2869,214
New England,2017,12,212,229,2111,441
Middle Atlantic,2017,12,176,305,3524,481
East North Central,2017,12,968,1362,8767,2330
West North Central,2017,12,152,379,2640,531
South Atlantic,2017,12,968,761,7110,1729
East South Central,2017,12,186,199,2178,385
West South Central,2017,12,296,261,3788,557
Mountain,2017,12,169,142,2522,311
Pacific,2017,12,94,77,2548,171
New England,2017,13,202,331,2151,533
Middle Atlantic,2017,13,150,421,3664,571
East North Central,2017,13,745,1274,8072,2019
West North Central,2017,13,106,359,2482,465
South Atlantic,2017,13,631,679,6392,1310
East South Central,2017,13,109,148,1643,257
West South Central,2017,13,212,227,3466,439
Mountain,2017,13,115,150,2372,265
Pacific,2017,13,75,69,2239,144
New England,2017,14,170,416,2387,586
Middle Atlantic,2017,14,84,477,3764,561
East North Central,2017,14,395,838,6573,1233
West North Central,2017,14,65,234,2325,299
South Atlantic,2017,14,384,506,5068,890
East South Central,2017,14,60,95,1330,155
